timetweet,isitweet,favcount,retwcount,id,name
2022-11-29 11:40:17,b'RT @drzul_albakri: Saya tak pandai ulas tapi saya cuba\xe2\x80\xa6\n\nSaya merasa terharu kerana tidak menyangka sambutan masyarakat dunia yang hadir ke\xe2\x80\xa6',0,1033,1597556048956911616,Hazirahhadi1
2022-11-29 11:40:00,b'Profil Tim dan Daftar Pemain Timnas Qatar di Piala Dunia 2022 #EMTEKWORLDCUP2022 #BOLANETWORLDCUP2022 #PialaDunia #PialaDunia2022  https://t.co/395oKxdxUc',0,0,1597555975304761347,Bolanet
2022-11-29 11:39:58,b'RT @rutoriess: \xe2\x9c\xa8 rekomendasi dress wanita \xe2\x9c\xa8\n\nA thread.\n\n\xe3\x85\xa1 tag [#MetUltahCipung rans entertaiment rafi ahmad ronaldo piala dunia shopee-ku c\xe2\x80\xa6',0,213,1597555966098411521,skycasthe_
2022-11-29 11:39:47,b'Instagram Kapten Timnas Korsel Dibanjiri Komentar Kebencian usai Kalah dari Ghana di Piala Dunia 2022 #PialaDunia2022 #sonheungmin \nhttps://t.co/WUCjQKTL98',0,0,1597555921412313088,woroinoy
2022-11-29 11:39:36,b'RT @drzul_albakri: Saya tak pandai ulas tapi saya cuba\xe2\x80\xa6\n\nSaya merasa terharu kerana tidak menyangka sambutan masyarakat dunia yang hadir ke\xe2\x80\xa6',0,1033,1597555875253694464,fatinathirah__
2022-11-29 11:39:33,b'RT @BetaKopites: \xe2\x9a\xbd GIVE AWAY\xe2\x9a\xbd\nHadiah 50rb untuk 2 org. Masing\xc2\xb2 25rb\n\nTebak Skor Piala Dunia\n\xf0\x9f\x87\xae\xf0\x9f\x87\xb7 Iran vs USA \xf0\x9f\x87\xba\xf0\x9f\x87\xb2\n\n1. Follow Betakopites\n2. Fol\xe2\x80\xa6',0,122,1597555864311066627,xleanxyz
2022-11-29 11:39:24,b'RT @Ic8558730Indah: Situs Nonton Piala Dunia Qatar 2022 Live Streaming Gratis Terbaik\nLINK \xf0\x9f\x91\x89 https://t.co/e3MH5sXjUC\nNONTON GRATIS TANPA DI\xe2\x80\xa6',0,1,1597555823886348288,Ic8558730Indah
2022-11-29 11:39:11,"b'Udah mulai masuk tahun-tahun apek obrolan di kantor atau makan siang nih gegara ngobrolin politik, udah gw belokin ngobrolin bola Piala Dunia eh balik lagi ngobrolin PDIP.\n\nHadehhhhh'",0,0,1597555769943396352,awbagsdie08
2022-11-29 11:39:09,b'RT @txtdarisports: Ronaldo jadi orang pertama yg mencetak goal di 5 piala dunia yg berbeda https://t.co/mOvmzbAGkm',0,2,1597555760283914241,bjorwi_ngaciro
2022-11-29 11:39:08,"b'Saat ini, Timnas Ekuador berada di urutan kedua klasemen sementara Grup A dan mengemas 4 poin. Sementara Senegal ada di urutan ketiga dengan koleksi 3 poin https://t.co/95XQim3bvS'",0,0,1597555756710100994,redaksidetail
2022-11-29 11:38:58,"b'RT @belajarlagiHQ: FIFA ketat banget ngasih aturan trademark soal pildun ini. Jangankan nulis lengkap, cuma sekedar kata ""piala dunia"" aja\xe2\x80\xa6'",0,6,1597555716658589698,kenawhykamu
2022-11-29 11:38:54,"b'Pitch invander ada dimana2, selevel Piala Dunia pun ada. Bahkan menyuarakan hal2 yg tidak berkaitan dengan sepakbola itu sendiri. Begitulah sepakbola, yg dalam sejarahnya juga kerap dipakai untuk menyampaikan pesan sampe propaganda. https://t.co/MXyDHVsV9W'",0,0,1597555698673807361,Doneh
2022-11-29 11:38:41,b'5 Pemain Liverpool yang Mampu Raih Trofi Piala Dunia https://t.co/xViZYiIG7i',0,0,1597555645846556673,idntimes
2022-11-29 11:38:38,"b'RT @belajarlagiHQ: FIFA ketat banget ngasih aturan trademark soal pildun ini. Jangankan nulis lengkap, cuma sekedar kata ""piala dunia"" aja\xe2\x80\xa6'",0,6,1597555633284608000,achimRCM
2022-11-29 11:38:37,b'RT @Muhammad_Saewad: Kenapa anda menolak menggunakan ban kapten LGBT?\n\nCR7 : \nSaya mengikuti aturan Qatar sebagai tuan rumah Piala Dunia 20\xe2\x80\xa6',0,86,1597555626149699585,mnaufalas
2022-11-29 11:38:34,"b'Kontroversi Gol Cristiano Ronaldo Atau Bruno Fernandes, Gol Siapa Sebenarnya? https://t.co/6iJxHPosk2 https://t.co/iyK1BWxqUM'",1,0,1597555614221496320,gilabolacom
2022-11-29 11:38:19,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597555553857069061,sweetjen0
2022-11-29 11:38:06,b'@idextratime Katanya piala dunia kali ini sepi dan gak asik.. sinting eti',0,0,1597555499435962368,Shinoa_hiiragii
2022-11-29 11:38:03,"b'@olvaholvah Lo tau Qatar tuan rumah apa, ini bkn piala Qatar tp piala utk juara dunia\nJgn di potong cara mikirnya'",0,0,1597555486244708352,Jud303i
2022-11-29 11:38:02,"b'RT @belajarlagiHQ: FIFA ketat banget ngasih aturan trademark soal pildun ini. Jangankan nulis lengkap, cuma sekedar kata ""piala dunia"" aja\xe2\x80\xa6'",0,6,1597555479265546240,mutiaralfiyah
2022-11-29 11:37:59,b'Bola piala dunia Qatar',0,0,1597555470331703297,JhonJhondri1
2022-11-29 11:37:55,b'RT @resca_ayue25: \xf0\x9f\x93\xbaLIVE STREAMING PIALA DUNIA\n\xe2\x9a\xbd\xef\xb8\x8fWORLD CUP\n\nEKUADOR VS SENEGAL\nhttps://t.co/M2NYGqzA2U\n\nBELANDA VS QATAR\nhttps://t.co/R6NsVC\xe2\x80\xa6',0,127,1597555450421334017,horangheay
2022-11-29 11:37:54,"b'RT @Sylvi4Anggraini: Salah satu keindahan Piala Dunia di Qatar adalah mereka membuat tempat sholat di Stadion dari kaca di semua sisi, sehi\xe2\x80\xa6'",0,2,1597555445782441985,kak_rafly
2022-11-29 11:37:51,b'RT @ryuhasan: kosple jadi maskot piala dunia arap https://t.co/W7XYcjO843',0,24,1597555433832853504,vncylntns
2022-11-29 11:37:46,b'RT @GamisMalaysia: QATAR 2022: PENTAS DAKWAH MASYARAKAT DUNIA\n\nPiala Dunia adalah sinonim bagi masyarakat dunia khusus untuk pengemar bola\xe2\x80\xa6',0,12,1597555413435568128,muhdaimanmn
2022-11-29 11:37:35,b'Mulai skrg piala dunia ga ada yg sore ya? Huft.',0,0,1597555368871485441,happyriezky
2022-11-29 11:37:30,"b'RT @03__nakula: Piala Dunia 2022 di Qatar, semuanya tentang Ronaldo. https://t.co/DSBkNVnxEk'",0,1,1597555346570035200,Arie71733194
2022-11-29 11:37:22,b'RT @Muhammad_Saewad: Kenapa anda menolak menggunakan ban kapten LGBT?\n\nCR7 : \nSaya mengikuti aturan Qatar sebagai tuan rumah Piala Dunia 20\xe2\x80\xa6',0,86,1597555314328743936,DedehKu35747938
2022-11-29 11:37:15,b'RT @utdfocusid: Negosiasi transfer Jeremie Frimpong ke Manchester United akan dilangsungkan setelah Piala Dunia. \xf0\x9f\x87\xb3\xf0\x9f\x87\xb1\n\nFrimpong sendiri sanga\xe2\x80\xa6',0,5,1597555282384932865,YuliusJbrjrc
2022-11-29 11:37:01,"b'Contohnya kayak beberapa waktu lalu official account brand besar sambat di Twitter karena susahnya mengikuti trend piala dunia tanpa harus sebut namanya.\n\nTapi bagaimanapun inilah bentuk peraturan yg sebenarnya. Kita gaboleh pake atribut resmi tanpa seijin pemiliknya, yaitu FIFA. https://t.co/PrzeikJEt9'",1,0,1597555226382577664,belajarlagiHQ
